order_id,paid_at,paid_sum
400013633,2022-06-02 00:48:13.800,2500.0
400018480,2022-06-02 01:52:05.707,1070.0
400032001,2022-06-02 04:55:40.307,4200.0
400033195,2022-06-02 05:44:23.480,2850.0
400039407,2022-06-02 06:53:54.503,10100.0
400116494,2022-06-02 08:09:42.393,4200.0
400138751,2022-06-02 09:39:18.877,11110.0
400224041,2022-06-02 10:33:26.510,3570.0
400020168,2022-06-02 10:39:36.157,4200.0
400024960,2022-06-02 10:40:25.193,2500.0
400031819,2022-06-02 10:42:11.657,3930.0
400032274,2022-06-02 10:43:12.453,3930.0
400038320,2022-06-02 10:44:22.870,1450.0
400063286,2022-06-02 10:45:33.357,5070.0
400077292,2022-06-02 10:46:11.370,6900.0
400081335,2022-06-02 10:46:45.080,3210.0
400097284,2022-06-02 10:55:37.677,1430.0
400090833,2022-06-02 10:56:12.960,1820.0
400097568,2022-06-02 10:57:24.370,3570.0
400114009,2022-06-02 11:00:10.840,5600.0
400118000,2022-06-02 11:03:17.930,3500.0
400150416,2022-06-02 11:07:34.187,1790.0
400173126,2022-06-02 11:09:50.587,3680.0
400184670,2022-06-02 11:11:29.720,720.0
400206906,2022-06-02 11:13:02.543,2500.0
400214846,2022-06-02 11:13:49.130,720.0
400198952,2022-06-02 11:14:08.770,1820.0
400215819,2022-06-02 11:14:13.447,3680.0
400199918,2022-06-02 11:14:27.607,720.0
400202732,2022-06-02 11:16:20.877,3500.0
400231132,2022-06-02 11:26:35.450,2850.0
400221595,2022-06-02 11:27:51.330,2150.0
400228024,2022-06-02 11:29:57.673,720.0
400236942,2022-06-02 11:30:01.747,720.0
400229644,2022-06-02 11:34:26.037,5600.0
400252525,2022-06-02 11:36:21.423,3570.0
400256863,2022-06-02 11:37:11.370,3570.0
400197918,2022-06-02 11:38:23.750,720.0
400185392,2022-06-02 11:41:20.340,1070.0
400263317,2022-06-02 11:43:38.743,3570.0
400276098,2022-06-02 11:55:08.330,920.0
400303182,2022-06-02 12:00:57.537,1380.0
400295722,2022-06-02 12:01:19.507,2150.0
400287744,2022-06-02 12:01:25.193,4200.0
400299826,2022-06-02 12:01:56.167,1070.0
400315636,2022-06-02 12:02:05.110,3570.0
400167494,2022-06-02 12:02:20.110,3210.0
400291013,2022-06-02 12:07:55.127,1450.0
400260014,2022-06-02 12:12:41.883,8570.0
400315639,2022-06-02 12:30:14.017,720.0
400317686,2022-06-02 12:40:44.690,720.0
400330375,2022-06-02 12:40:55.807,1820.0
400347842,2022-06-02 12:41:36.100,720.0
400340435,2022-06-02 12:44:56.333,5600.0
400350826,2022-06-02 12:45:02.907,3500.0
400353598,2022-06-02 12:45:05.110,4280.0
400357964,2022-06-02 12:45:34.727,720.0
400352696,2022-06-02 12:45:41.910,3680.0
400360313,2022-06-02 12:46:38.897,1070.0
400362477,2022-06-02 12:47:26.340,3210.0
400368059,2022-06-02 12:49:25.033,3570.0
400374700,2022-06-02 12:54:29.090,720.0
400359928,2022-06-02 12:54:32.053,2850.0
400340435,2022-06-02 12:55:09.743,3850.0
400043486,2022-06-02 13:10:07.087,1430.0
400378768,2022-06-02 13:16:11.483,5600.0
400400622,2022-06-02 13:33:12.023,720.0
400358890,2022-06-02 13:33:21.213,4900.0
400413432,2022-06-02 13:45:20.147,1430.0
400427172,2022-06-02 13:52:19.263,720.0
400431672,2022-06-02 13:52:23.797,2140.0
400131779,2022-06-02 14:08:15.370,720.0
400464316,2022-06-02 14:24:09.467,2850.0
400466337,2022-06-02 14:26:19.880,3210.0
400467850,2022-06-02 14:28:11.507,2850.0
400261682,2022-06-02 14:42:26.787,4600.0
400056138,2022-06-02 14:44:35.877,2140.0
400479490,2022-06-02 14:45:29.870,3210.0
400444341,2022-06-02 14:47:01.960,2150.0
400483864,2022-06-02 14:53:26.013,4900.0
400207349,2022-06-02 14:58:30.073,3220.0
400498855,2022-06-02 15:02:25.627,2850.0
400315441,2022-06-02 15:11:19.167,5520.0
400520727,2022-06-02 15:11:21.690,3210.0
400509591,2022-06-02 15:13:12.040,2140.0
400520250,2022-06-02 15:13:16.680,5600.0
400500325,2022-06-02 15:19:21.377,4900.0
400538858,2022-06-02 15:30:15.740,720.0
400534547,2022-06-02 15:30:23.417,3210.0
400538294,2022-06-02 15:33:10.440,6900.0
400529258,2022-06-02 15:33:16.053,1450.0
400244247,2022-06-02 15:44:05.310,4280.0
400561279,2022-06-02 15:56:19.430,1820.0
400364684,2022-06-02 16:00:08.000,1820.0
400115407,2022-06-02 16:01:24.007,4280.0
400438418,2022-06-02 16:02:20.057,2000.0
400569903,2022-06-02 16:06:31.780,920.0
400582968,2022-06-02 16:13:10.857,2500.0
400584629,2022-06-02 16:17:07.650,1070.0
400584432,2022-06-02 16:17:20.740,3570.0
400586610,2022-06-02 16:20:14.543,4200.0
400564695,2022-06-02 16:20:16.313,3680.0
400586543,2022-06-02 16:20:18.727,1790.0
400266678,2022-06-02 16:25:22.133,1070.0
400591431,2022-06-02 16:28:16.837,1450.0
400597683,2022-06-02 16:32:04.697,3570.0
400597887,2022-06-02 16:33:13.120,2140.0
400614946,2022-06-02 16:47:08.157,720.0
400356961,2022-06-02 16:48:05.533,3570.0
400627577,2022-06-02 16:52:05.330,3680.0
400634389,2022-06-02 16:59:08.597,720.0
400360507,2022-06-02 17:05:24.750,1450.0
400039450,2022-06-02 17:06:09.907,2140.0
400638035,2022-06-02 17:06:21.723,3570.0
400638576,2022-06-02 17:08:08.027,1070.0
400489996,2022-06-02 17:15:21.350,1070.0
400640163,2022-06-02 17:15:23.283,1380.0
400650597,2022-06-02 17:20:11.773,1790.0
400643044,2022-06-02 17:21:18.363,5600.0
400653498,2022-06-02 17:27:15.720,4600.0
400644219,2022-06-02 17:28:23.703,1430.0
400660090,2022-06-02 17:32:11.830,720.0
400531103,2022-06-02 17:32:14.583,1070.0
400560038,2022-06-02 17:36:13.670,3680.0
400460968,2022-06-02 17:37:21.253,1450.0
400227679,2022-06-02 17:38:33.397,3570.0
400005838,2022-06-02 17:38:43.917,20200.0
400689236,2022-06-02 17:52:12.510,4200.0
400699046,2022-06-02 17:59:23.240,1790.0
400702198,2022-06-02 18:04:18.260,720.0
400703135,2022-06-02 18:08:22.110,3570.0
400691798,2022-06-02 18:08:32.313,2850.0
400711135,2022-06-02 18:15:12.217,720.0
400015650,2022-06-02 18:24:34.800,2020.0
400683235,2022-06-02 18:25:11.303,3500.0
400625494,2022-06-02 18:26:44.177,1010.0
400718916,2022-06-02 18:28:38.640,1010.0
400722041,2022-06-02 18:31:12.610,4200.0
400726718,2022-06-02 18:31:14.820,4200.0
400732602,2022-06-02 18:44:16.697,2290.0
400756222,2022-06-02 18:59:11.457,720.0
400758243,2022-06-02 18:59:13.507,2740.0
400690089,2022-06-02 19:02:26.723,720.0
400190270,2022-06-02 19:26:43.493,2020.0
400400003,2022-06-02 19:31:09.360,4600.0
400801952,2022-06-02 19:35:23.040,4200.0
400771915,2022-06-02 19:37:12.300,3500.0
400807422,2022-06-02 19:47:08.083,2140.0
400807422,2022-06-02 20:01:30.007,1070.0
400765626,2022-06-02 20:08:12.123,1790.0
400827701,2022-06-02 20:09:11.910,720.0
400102979,2022-06-02 20:12:25.987,4600.0
400546034,2022-06-02 20:19:48.483,4600.0
400001732,2022-06-02 20:20:16.790,5600.0
400848217,2022-06-02 20:22:14.003,1070.0
400107932,2022-06-02 20:23:25.977,15150.0
400600676,2022-06-02 20:24:09.860,1450.0
400551673,2022-06-02 20:27:07.887,5600.0
400753871,2022-06-02 20:32:20.627,10100.0
400446067,2022-06-02 20:42:27.990,1070.0
400880269,2022-06-02 20:48:13.083,3210.0
400877535,2022-06-02 20:48:15.357,1070.0
400898066,2022-06-02 21:12:09.433,3210.0
400768005,2022-06-02 21:15:11.767,6430.0
400900743,2022-06-02 21:20:11.583,1430.0
400907380,2022-06-02 21:34:16.640,2150.0
400546944,2022-06-02 21:36:09.060,5070.0
400192894,2022-06-02 21:39:44.183,1820.0
400916605,2022-06-02 21:41:08.957,720.0
400918765,2022-06-02 21:43:13.983,720.0
400927851,2022-06-02 21:46:11.450,1450.0
400240995,2022-06-02 21:49:01.907,720.0
400908353,2022-06-02 21:49:09.080,6900.0
400928039,2022-06-02 21:53:13.523,1790.0
400915365,2022-06-02 21:54:23.323,720.0
400937746,2022-06-02 21:58:07.207,4600.0
400755853,2022-06-02 22:03:06.030,920.0
400938770,2022-06-02 22:12:11.420,3220.0
400640496,2022-06-02 22:23:13.910,3220.0
400017255,2022-06-02 22:27:10.883,1430.0
400559889,2022-06-02 22:39:44.730,4040.0
400952070,2022-06-02 22:45:08.260,720.0
400962793,2022-06-02 22:51:06.733,2850.0
400843815,2022-06-02 22:51:32.640,4040.0
400708387,2022-06-02 23:00:05.507,2740.0
400973221,2022-06-02 23:24:04.567,1430.0
400970284,2022-06-02 23:26:12.470,720.0
400971436,2022-06-02 23:48:10.567,3500.0
400991480,2022-06-02 23:59:06.767,720.0
400973198,2022-06-03 00:00:00.000,7070.0
400918765,2022-06-03 00:26:30.617,360.0
